assumption_order,assumption_group,parameter_name,parameter_value,unit,source_type,source_reference,appendix_submodule,practical_use,limitation_note,secondary_role_note
1,Deterministic valuation,payable_rate,0.96,decimal,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Realized price bridge from copper price to payable revenue.,This is a simplified commercial assumption carried into the public appendix flow.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
2,Deterministic valuation,tc_rc_usd_per_lb,0.053,USD/lb,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Commercial deduction between payable revenue and net realized price.,"Used as a planning-style charge, not as a detailed commercial contract model.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
3,Deterministic valuation,base_unit_cost_usd_per_tonne,22.0,USD/t,canonical_annual_input_table,data/sample_data/annual_appendix/annual_appendix_inputs.csv,Deterministic Valuation,Base-operation unit cost reference for incremental comparison.,Yearly appendix cost logic is planning-facing and not a full cost accounting model.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
4,Deterministic valuation,expansion_unit_cost_usd_per_tonne,21.3,USD/t,canonical_annual_input_table,data/sample_data/annual_appendix/annual_appendix_inputs.csv,Deterministic Valuation,Expanded-operation unit cost reference for scenario comparison.,"Values are table-driven by project year, but still simplified relative to cost-center accounting.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
5,Deterministic valuation,income_tax_rate,0.295,decimal,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Cash-tax proxy applied to positive EBITDA in the public appendix flow.,The appendix uses a simplified tax proxy and does not claim full fiscal-regime realism.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
6,Deterministic valuation,royalty_rate,0.03,decimal,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Visible for benchmark transparency and model traceability.,Tracked for transparency but not applied in the current appendix cash-flow chain.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
7,Deterministic valuation,special_levy_rate,0.01,decimal,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Visible for benchmark transparency and model traceability.,Tracked for transparency but not applied in the current appendix cash-flow chain.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
8,Deterministic valuation,wacc,0.1,decimal,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Discount-rate anchor for deterministic and downside valuation summaries.,"This is a planning discount rate, not a full capital-structure model.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
9,Deterministic valuation,initial_capex_year0_usd,280000000.0,USD,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Year-0 outlay used in explicit NPV and IRR construction.,"Kept explicit for transparency, but not presented as a full capex schedule.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
10,Deterministic valuation,initial_capex_year1_usd,170000000.0,USD,canonical_annual_input_table,data/sample_data/annual_appendix/annual_appendix_inputs.csv,Deterministic Valuation,Year-1 follow-on capex used in explicit NPV and IRR construction.,Yearly capex values live in the canonical annual input table and remain planning-style rather than engineering schedule detail.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
11,Deterministic valuation,annual_sustaining_capex_usd,10000000.0,USD,canonical_annual_input_table,data/sample_data/annual_appendix/annual_appendix_inputs.csv,Deterministic Valuation,Recurring capex burden in the expansion case.,Recurring capex is table-driven by project year and intentionally simplified for public-safe appendix use.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
12,Deterministic valuation,working_capital_ratio,0.07,decimal,canonical_parameter_table,appendix_parameters.csv,Deterministic Valuation,Revenue-linked working-capital proxy for deterministic and incremental cash-flow treatment.,Working-capital handling is deliberately simplified for transparent planning-style comparison.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
13,Deterministic valuation,uplift_pct,0.2,decimal,canonical_parameter_table,appendix_parameters.csv,Scenario Framing,High-level throughput uplift used in the expanded-operation profile.,"This is a stylized planning uplift, not a detailed mine-plan schedule.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
14,Deterministic valuation,logistic_midpoint,2.5,project_year,canonical_parameter_table,appendix_parameters.csv,Scenario Framing,Controls the timing of the stylized throughput ramp.,Ramp timing is intentionally simplified for scenario readability.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
15,Deterministic valuation,logistic_steepness,2.0,decimal,canonical_parameter_table,appendix_parameters.csv,Scenario Framing,Controls how quickly the stylized throughput ramp converges.,Ramp shape is intentionally simplified for scenario readability.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
16,Monte Carlo design,iterations,10000.0,count,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Controls simulation sample size for downside distribution estimates.,"Higher iteration count improves numerical stability, not model realism.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
17,Monte Carlo design,random_seed,42.0,seed,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Keeps the public appendix reproducible across builds.,Reproducibility does not remove specification risk.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
18,Monte Carlo design,var_alpha,0.05,decimal,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Tail percentile used for VaR and CVaR reporting.,Tail metrics remain planning-style downside indicators rather than asset-grade risk capital measures.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
19,Monte Carlo design,sigma_price_returns,0.2196681527826002,decimal,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Scales simulated copper-price variation around the base deck.,This is not a structural commodity-price model.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
20,Monte Carlo design,grade_cv,0.1870965555729619,ratio,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Adds public-safe grade dispersion to the downside distribution.,Dispersion remains stylized and should not be treated as an asset-grade ore-control model.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
21,Monte Carlo design,recovery_cv,0.0276393125088624,ratio,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Adds bounded recovery variation to the downside distribution.,Dispersion remains stylized and should not be treated as a plant-metallurgy forecast model.,Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
22,Monte Carlo design,price_path_autocorrelation,0.55,decimal,canonical_parameter_table,appendix_parameters.csv,Monte Carlo Downside,Smooths year-to-year price path persistence in the simulation.,"Used for stylized downside continuity, not for market microstructure realism.",Appendix assumptions support scenario and downside interpretation; they are not the main monthly operating model.
